Brad Hodge,12/29/74,Australia,Right Hand Batsman,Right arm off-break,,Kolkata KnightRiders,0,0
Ishant Sharma,09/02/88,India,Right arm fast Bowler,Right arm fast Bowler,,Kolkata KnightRiders,0,0
Sachin Tendulkar,04/24/73,India,Right Hand Batsman,Right-arm offbreak,,Mumbai Indians,0,0
Harbhajan Singh,07/03/80,India,,Right arm off-break,,Mumbai Indians,0,0
Virender Sehwag,10/20/78,India,Right Hand Batsman,Right arm off-break,,Delhi DareDevils,0,0
Gaurav Dhiman,12/06/86,India,Right hand Batsman,,,Royal Challengers Bangalore,0,0
Kshemal Waingankar,04/05/85,India,Right Hand Batsman,Right arm fast medium,,Kolkata KnightRiders,0,0
Shane Watson,06/17/81,Australia,Right Hand Batsman,Right arm fast medium,,Rajasthan Royals,0,0
Luke Pomersbach,09/28/84,Australia,Left Hand Batsman,,,Kings XI Punjab,0,0
Ravi Bopara,05/04/85,England,Right Hand Batsman,Right arm medium Bowler,,Kings XI Punjab,0,0
Lasith Malinga,08/28/83,Sri Lanka,,Right arm fast Bowler,,Mumbai Indians,0,0
Harmeet Singh,10/09/87,India,Right Hand Batsman,Right arm medium,,Deccan Chargers,0,0
Aakash Chopra,09/19/77,India,Right Hand Batsman,,,Kolkata KnightRiders,0,0
Manoj Tiwary,11/14/85,India,Right hand Batsman,legbreak googly,,Delhi DareDevils,0,0
Andrew McDonald,06/15/81,Australia,Right hand Batsman,Right arm fast medium,,Delhi DareDevils,0,0
Yusuf Pathan,11/17/82,India,Right Hand Batsman,Right arm off-break,,Rajasthan Royals,0,0
Ravindra Jadeja,12/06/88,India,Left Hand Batsman,Left arm slow orthodox,,Rajasthan Royals,0,0
Andrew Flintoff,12/06/77,England,Right hand Batsman,Right arm fast Bowler,,Chennai SuperKings,0,0
Shane Harwood,03/01/74,Australia,Right Hand Batsman,Right arm fast medium,,Rajasthan Royals,0,0
Shaun Marsh,07/09/83,Australia,Left Hand Batsman ,,,Kings XI Punjab,0,0
Morne Morkel,10/06/84,South Africa,Left Hand Batsman,Right arm fast,,Rajasthan Royals,0,0
Ramesh Powar,05/20/78,India,Right Hand Batsman,Right arm off-break,,Kings XI Punjab,0,0
Mashrafe Mortaza,10/05/83,Bangladesh,Right Hand Batsman,Right arm fast medium,,Kolkata KnightRiders,0,0
Niraj Patel,03/26/81,India,Left Hand Batsman ,,,Rajasthan Royals,0,0
Robin Uthappa,11/11/85,India,Right hand Batsman,,,Royal Challengers Bangalore,0,0
Fidel Edwards,02/06/82,West Indies,,Right arm fast Bowler,,Deccan Chargers,0,0
Charl Langeveldt,12/17/74,South Africa,,Right arm fast medium Bowler,,Kolkata KnightRiders,0,0
Viraj Kadbe,11/18/89,India,Right Hand Batsman,legbreak,,Chennai SuperKings,0,0
Graham Napier,01/06/80,England,Right hand Batsman,Right arm medium Bowler,,Mumbai Indians,0,0
Cameron White,08/18/83,Australia,,Leg break googly,,Royal Challengers Bangalore,0,0
Jacob Oram,07/28/78,New Zealand,Left Hand Batsman,Right arm fast medium,,Chennai SuperKings,0,0
Rohan Banerjee,12/10/88,India,Left Hand Batsman,,,Kolkata KnightRiders,0,0
Umesh Yadav,10/25/87,India,Right Hand Batsman,Right arm fast medium,,Delhi DareDevils,0,0
Shoaib Ahmed,11/19/87,India,Right Hand Batsman,Right arm fast Medium,,Deccan Chargers,0,0
Anup Revandkar,11/25/87,India,Right Hand Batsman,Right arm fast,,Rajasthan Royals,0,0
Rajat Bhatia,10/22/79,India,Right Hand Batsman,Right arm medium fast,,Delhi DareDevils,0,0
Abhisek Banerjee,05/18/84,India,Right Hand Batsman,,,Kolkata KnightRiders,0,0
Saurabh Tiwary,12/30/89,India,Left hand Batsman,,,Mumbai Indians,0,0
Wriddhiman Saha,10/24/84,India,Right Hand Batsman,,Wicket Keeper,Kolkata KnightRiders,0,0
Wilkin Mota,09/20/81,India,Right Hand Batsman,Right arm medium Bowler,,Kings XI Punjab,0,0
Parthiv Patel,03/09/89,India,Left Hand Batsman,,Wicket Keeper,Chennai SuperKings,0,0
Sachin Rana,09/18/84,India,Right Hand Batsman,Right arm medium fast,,Kolkata KnightRiders,0,0
